jester: 27 classes
storing name: TSM_jester_RGB_resnet50_avg_segment8_e50_lr5e-03_npb_gp22

    Initializing TSN with base model: resnet50.
    TSN Configurations:
        input_modality:     RGB
        num_segments:       8
        new_length:         1
        consensus_module:   avg
        dropout_ratio:      0.5
        img_feature_dim:    256
            
=> base model: resnet50
#################### NO FLIP!!!
video clips:118562
video clips:14787
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
Epoch: [0][560/2470], lr: 0.00500	Time 0.532 (0.561)	Data 0.000 (0.007)	Loss 1.9434 (2.2614)	Prec@1 43.750 (33.835)	Prec@5 75.000 (68.958)
Epoch: [0][580/2470], lr: 0.00500	Time 0.532 (0.560)	Data 0.000 (0.007)	Loss 1.9629 (2.2460)	Prec@1 37.500 (34.183)	Prec@5 79.167 (69.277)
Epoch: [0][600/2470], lr: 0.00500	Time 0.531 (0.559)	Data 0.000 (0.006)	Loss 1.7909 (2.2282)	Prec@1 43.750 (34.637)	Prec@5 87.500 (69.710)
Epoch: [0][620/2470], lr: 0.00500	Time 0.532 (0.559)	Data 0.000 (0.006)	Loss 1.3379 (2.2115)	Prec@1 52.083 (35.041)	Prec@5 87.500 (70.169)
Epoch: [0][640/2470], lr: 0.00500	Time 0.533 (0.558)	Data 0.000 (0.006)	Loss 1.7307 (2.1955)	Prec@1 43.750 (35.404)	Prec@5 81.250 (70.551)
Epoch: [0][660/2470], lr: 0.00500	Time 0.553 (0.557)	Data 0.000 (0.006)	Loss 1.5880 (2.1779)	Prec@1 43.750 (35.763)	Prec@5 81.250 (70.925)
Epoch: [0][680/2470], lr: 0.00500	Time 0.535 (0.557)	Data 0.000 (0.006)	Loss 1.5244 (2.1641)	Prec@1 45.833 (36.068)	Prec@5 89.583 (71.228)
Epoch: [0][700/2470], lr: 0.00500	Time 0.534 (0.556)	Data 0.000 (0.005)	Loss 1.7710 (2.1517)	Prec@1 45.833 (36.383)	Prec@5 75.000 (71.547)
Epoch: [0][720/2470], lr: 0.00500	Time 0.552 (0.556)	Data 0.000 (0.005)	Loss 2.0732 (2.1408)	Prec@1 37.500 (36.650)	Prec@5 79.167 (71.845)
Epoch: [0][740/2470], lr: 0.00500	Time 0.546 (0.555)	Data 0.000 (0.005)	Loss 1.8052 (2.1264)	Prec@1 37.500 (36.952)	Prec@5 81.250 (72.152)
Epoch: [0][760/2470], lr: 0.00500	Time 0.534 (0.554)	Data 0.000 (0.005)	Loss 1.1127 (2.1113)	Prec@1 60.417 (37.319)	Prec@5 93.750 (72.503)
Epoch: [0][780/2470], lr: 0.00500	Time 0.533 (0.554)	Data 0.000 (0.005)	Loss 1.6312 (2.0990)	Prec@1 50.000 (37.687)	Prec@5 81.250 (72.783)
Epoch: [0][800/2470], lr: 0.00500	Time 0.534 (0.554)	Data 0.000 (0.005)	Loss 1.6620 (2.0882)	Prec@1 52.083 (37.958)	Prec@5 77.083 (73.000)
Epoch: [0][820/2470], lr: 0.00500	Time 0.533 (0.553)	Data 0.000 (0.005)	Loss 1.5237 (2.0781)	Prec@1 50.000 (38.190)	Prec@5 85.417 (73.216)
